,principal_x,principal_y,principal_z,ncbi_id,sample_name,full_name
0,0.634893,9.067707,11.227191,NC_000117,NC_000117 sample_0,Chlamydia trachomatis D/UW-3/CX
1,0.822138,10.538892,10.915380,NC_000117,NC_000117 sample_1,Chlamydia trachomatis D/UW-3/CX
2,-0.237877,8.215164,10.973619,NC_000117,NC_000117 sample_2,Chlamydia trachomatis D/UW-3/CX
3,3.108927,14.377924,4.583335,NC_000117,NC_000117 sample_3,Chlamydia trachomatis D/UW-3/CX
4,0.982307,10.714363,10.800070,NC_000117,NC_000117 sample_4,Chlamydia trachomatis D/UW-3/CX
5,1.623437,12.815561,8.776718,NC_000117,NC_000117 sample_5,Chlamydia trachomatis D/UW-3/CX
6,0.298259,8.506579,10.866431,NC_000117,NC_000117 sample_6,Chlamydia trachomatis D/UW-3/CX
7,1.201637,12.295064,9.931773,NC_000117,NC_000117 sample_7,Chlamydia trachomatis D/UW-3/CX
8,1.641307,12.473937,9.079420,NC_000117,NC_000117 sample_8,Chlamydia trachomatis D/UW-3/CX
9,0.490533,10.591059,10.709010,NC_000117,NC_000117 sample_9,Chlamydia trachomatis D/UW-3/CX
10,3.419473,14.295037,4.857028,NC_000853,NC_000853 sample_0,Thermotoga maritima MSB8
11,2.028360,13.307114,8.012745,NC_000853,NC_000853 sample_1,Thermotoga maritima MSB8
12,-0.303298,6.075871,9.985387,NC_000853,NC_000853 sample_2,Thermotoga maritima MSB8
13,4.282783,13.328700,2.303521,NC_000853,NC_000853 sample_3,Thermotoga maritima MSB8
14,1.605008,11.583149,10.493333,NC_000853,NC_000853 sample_4,Thermotoga maritima MSB8
15,2.768667,14.202139,6.047048,NC_000853,NC_000853 sample_5,Thermotoga maritima MSB8
16,3.076500,14.125411,5.543790,NC_000853,NC_000853 sample_6,Thermotoga maritima MSB8
17,3.647355,14.089989,3.498688,NC_000853,NC_000853 sample_7,Thermotoga maritima MSB8
18,3.574630,14.142659,3.934230,NC_000853,NC_000853 sample_8,Thermotoga maritima MSB8
19,6.811593,11.921940,0.725172,NC_000853,NC_000853 sample_9,Thermotoga maritima MSB8
20,1.654716,12.215542,9.767045,NC_000907,NC_000907 sample_0,Haemophilus influenzae Rd KW20
21,0.419348,0.237466,1.958104,NC_000907,NC_000907 sample_1,Haemophilus influenzae Rd KW20
22,0.920100,10.844906,10.854442,NC_000907,NC_000907 sample_2,Haemophilus influenzae Rd KW20
23,-0.156417,8.090604,10.569968,NC_000907,NC_000907 sample_3,Haemophilus influenzae Rd KW20
24,2.269908,14.027003,6.494708,NC_000907,NC_000907 sample_4,Haemophilus influenzae Rd KW20
25,1.477520,12.586431,9.629282,NC_000907,NC_000907 sample_5,Haemophilus influenzae Rd KW20
26,3.089825,14.246262,5.148852,NC_000907,NC_000907 sample_6,Haemophilus influenzae Rd KW20
27,-0.468018,5.848799,10.095510,NC_000907,NC_000907 sample_7,Haemophilus influenzae Rd KW20
28,0.435858,9.539742,11.204501,NC_000907,NC_000907 sample_8,Haemophilus influenzae Rd KW20
29,2.419888,13.877716,6.897288,NC_000907,NC_000907 sample_9,Haemophilus influenzae Rd KW20
30,0.502392,0.085718,1.625697,NC_000908,NC_000908 sample_0,Mycoplasma genitalium G37
31,2.526788,13.559223,7.696244,NC_000908,NC_000908 sample_1,Mycoplasma genitalium G37
32,-0.843020,2.991976,6.335110,NC_000908,NC_000908 sample_2,Mycoplasma genitalium G37
33,-0.732272,2.854511,6.359856,NC_000908,NC_000908 sample_3,Mycoplasma genitalium G37
34,-0.506878,5.455688,9.622942,NC_000908,NC_000908 sample_4,Mycoplasma genitalium G37
