,x,y,z,ncbi_id,sample_name,full_name
127757,-0.057134,0.026910,0.010270,NC_014966,NC_014966 sample_57,Vibrio vulnificus MO6-24/O chromosome II
252124,-0.007724,-0.008138,0.032538,NC_021892,NC_021892 sample_24,Chlamydia trachomatis J/6276tet1
225112,-0.213340,-0.018136,0.111470,NC_020195,NC_020195 sample_12,Blattabacterium sp. (Blatta orientalis) str. Tarazona
67746,-0.059721,0.019303,0.038212,NC_010554,NC_010554 sample_46,Proteus mirabilis HI4320
167990,-0.166510,-0.008150,0.070211,NC_017187,NC_017187 sample_90,Arcobacter butzleri ED-1
89282,0.084693,0.049744,-0.028718,NC_012590,NC_012590 sample_82,Corynebacterium aurimucosum ATCC 700975
63941,0.132760,0.103610,-0.091270,NC_010338,NC_010338 sample_41,Caulobacter sp. K31
154053,0.095752,0.048283,-0.037025,NC_016781,NC_016781 sample_53,Corynebacterium pseudotuberculosis 3/99-5
36854,0.195180,0.087069,-0.151540,NC_008313,NC_008313 sample_54,Ralstonia eutropha H16 chromosome 1
49242,-0.025121,0.026952,0.022466,NC_009381,NC_009381 sample_42,Yersinia pestis Pestoides F
212435,-0.031199,0.015812,-0.000212,NC_018690,NC_018690 sample_35,Actinobacillus suis H91-0380
235747,-0.085777,0.023748,0.039712,NC_020945,NC_020945 sample_47,Chlamydia trachomatis L2b/8200/07 complete genome
160345,0.050122,0.061332,-0.040911,NC_016932,NC_016932 sample_45,Corynebacterium pseudotuberculosis 316
115031,0.145780,0.066592,-0.072240,NC_014323,NC_014323 sample_31,Herbaspirillum seropedicae SmR1
175921,-0.155910,-0.011383,0.093329,NC_017342,NC_017342 sample_21,Staphylococcus aureus subsp. aureus TCH60
130643,-0.105100,-0.016653,0.065383,NC_015214,NC_015214 sample_43,Lactobacillus acidophilus 30SC
238892,-0.152750,-0.011565,0.057538,NC_021089,NC_021089 sample_92,Wolbachia endosymbiont of Drosophila simulans wHa
155820,0.014431,0.042437,0.015066,NC_016802,NC_016802 sample_20,Corynebacterium diphtheriae HC02
258816,0.079200,0.040945,-0.020796,NC_022364,NC_022364 sample_16,Escherichia coli LY180
202758,0.078448,0.054291,-0.053098,NC_018266,NC_018266 sample_58,Amycolatopsis mediterranei S699
159569,-0.136240,-0.023117,0.068388,NC_016912,NC_016912 sample_69,Staphylococcus aureus subsp. aureus VC40
197128,-0.128740,-0.014532,0.102920,NC_017927,NC_017927 sample_28,Streptococcus thermophilus MN-ZLW-002
53933,0.127870,0.046625,-0.073272,NC_009636,NC_009636 sample_33,Sinorhizobium medicae WSM419
132362,0.191160,0.066010,-0.132340,NC_015381,NC_015381 sample_62,Burkholderia gladioli BSR3 chromosome 1
168630,-0.080133,-0.012173,0.004341,NC_017200,NC_017200 sample_30,Bacillus thuringiensis serovar finitimus YBT-020
173430,-0.111700,-0.012173,0.034924,NC_017295,NC_017295 sample_30,Clostridium acetobutylicum EA 2018
231588,-0.075416,0.016445,0.061653,NC_020549,NC_020549 sample_88,Candidatus Liberibacter asiaticus str. gxpsy
25420,-0.060054,0.022977,0.048045,NC_007481,NC_007481 sample_20,Pseudoalteromonas haloplanktis TAC125 chromosome I
164744,-0.094694,-0.006516,0.024365,NC_017066,NC_017066 sample_44,Rickettsia typhi str. TH1527
32782,0.149040,0.062600,-0.072386,NC_007963,NC_007963 sample_82,Chromohalobacter salexigens DSM 3043
62350,0.036544,0.048978,-0.001438,NC_010169,NC_010169 sample_50,Brucella suis ATCC 23445 chromosome I
110813,0.058951,0.074267,-0.025797,NC_014145,NC_014145 sample_13,Thiomonas sp. 3As
69156,0.216430,0.113410,-0.156150,NC_010622,NC_010622 sample_56,Burkholderia phymatum STM815 chromosome 1
140379,0.155870,0.058338,-0.078640,NC_015690,NC_015690 sample_79,Paenibacillus mucilaginosus KNP414
79790,-0.072434,-0.032564,0.038914,NC_011661,NC_011661 sample_90,Dictyoglomus turgidum DSM 6724
5356,0.128210,0.104760,-0.056269,NC_002945,NC_002945 sample_56,Mycobacterium bovis AF2122/97
206222,-0.132960,0.008303,0.076872,NC_018520,NC_018520 sample_22,Bacillus subtilis QB928
171218,-0.074569,0.025286,0.056682,NC_017262,NC_017262 sample_18,Zymomonas mobilis subsp. mobilis ATCC 10988
59869,0.049176,0.063600,-0.005069,NC_009972,NC_009972 sample_69,Herpetosiphon aurantiacus DSM 785
238571,-0.189450,-0.008371,0.125580,NC_021083,NC_021083 sample_71,Mycoplasma putrefaciens Mput9231
186388,0.159980,0.069920,-0.091302,NC_017548,NC_017548 sample_88,Pseudomonas aeruginosa M18
249528,-0.158580,-0.007729,0.098751,NC_021831,NC_021831 sample_28,Mycoplasma hyopneumoniae 7422
28737,0.008749,0.012658,0.013126,NC_007644,NC_007644 sample_37,Moorella thermoacetica ATCC 39073
58398,-0.035926,-0.000581,0.042434,NC_009848,NC_009848 sample_98,Bacillus pumilus SAFR-032
265368,-0.120970,-0.000859,0.087057,NC_022873,NC_022873 sample_68,Bacillus thuringiensis YBT-1518
197316,-0.048465,0.028381,0.006562,NC_017934,NC_017934 sample_16,Mesotoga prima MesG1.Ag.4.2
196560,-0.044600,0.018938,0.050841,NC_017912,NC_017912 sample_60,Bacillus amyloliquefaciens Y2
30023,0.067485,0.071179,-0.012476,NC_007776,NC_007776 sample_23,Synechococcus sp. JA-2-3B'a(2-13)
163799,0.009956,0.039305,0.035692,NC_017052,NC_017052 sample_99,Synechocystis sp. PCC 6803 substr. PCC-N
201152,-0.107940,0.022855,0.044786,NC_018089,NC_018089 sample_52,Streptococcus mutans GS-5
23674,-0.082934,0.027356,0.034874,NC_007297,NC_007297 sample_74,Streptococcus pyogenes MGAS5005
149738,0.113290,0.065329,-0.062080,NC_016582,NC_016582 sample_38,Streptomyces bingchenggensis BCW-1
129195,-0.089473,-0.028903,0.045491,NC_015144,NC_015144 sample_95,Weeksella virosa DSM 16922
170878,-0.136600,-0.028690,0.077622,NC_017254,NC_017254 sample_78,Buchnera aphidicola str. JF98 (Acyrthosiphon pisum)
260909,0.008048,0.052705,-0.006870,NC_022543,NC_022543 sample_9,Vibrio nigripulchritudo str. SFn1
20233,0.240310,0.038704,-0.048016,NC_006461,NC_006461 sample_33,Thermus thermophilus HB8
33512,-0.140790,-0.016303,0.066927,NC_008022,NC_008022 sample_12,Streptococcus pyogenes MGAS10270
96566,0.188040,0.032120,-0.100020,NC_013124,NC_013124 sample_66,Acidimicrobium ferrooxidans DSM 10331
148057,0.007427,0.055501,0.009344,NC_016077,NC_016077 sample_57,Acidaminococcus intestini RyC-MR95
136377,-0.026997,0.011956,0.011448,NC_015567,NC_015567 sample_77,Serratia plymuthica AS9
90751,0.207500,0.112010,-0.131540,NC_012724,NC_012724 sample_51,Burkholderia glumae BGR1 chromosome 1
122450,-0.076693,0.014480,0.020805,NC_014724,NC_014724 sample_50,Lactobacillus amylovorus GRL 1112
89452,-0.134470,0.003470,0.066374,NC_012658,NC_012658 sample_52,Clostridium botulinum Ba4 str. 657
25114,-0.079907,0.004472,0.082250,NC_007432,NC_007432 sample_14,Streptococcus agalactiae A909
11629,-0.130360,-0.014605,0.066394,NC_004350,NC_004350 sample_29,Streptococcus mutans UA159
164811,0.034286,0.059436,-0.007702,NC_017067,NC_017067 sample_11,Marinobacter hydrocarbonoclasticus ATCC 49840
141423,-0.044510,0.014557,0.027637,NC_015722,NC_015722 sample_23,Candidatus Midichloria mitochondrii IricVA
15377,0.049422,0.049721,-0.006593,NC_005085,NC_005085 sample_77,Chromobacterium violaceum ATCC 12472
125585,-0.041221,0.016818,0.032878,NC_014909,NC_014909 sample_85,Candidatus Blochmannia vafer str. BVAF
229181,-0.133630,0.040922,0.104140,NC_020508,NC_020508 sample_81,Helicobacter pylori OK113 DNA
265360,-0.131470,0.004166,0.064103,NC_022873,NC_022873 sample_60,Bacillus thuringiensis YBT-1518
121001,0.063810,0.036064,-0.076075,NC_014643,NC_014643 sample_1,Rothia dentocariosa ATCC 17931
243677,-0.039448,0.014389,-0.001453,NC_021351,NC_021351 sample_77,Corynebacterium glutamicum SCgG1
204628,-0.277790,-0.045407,0.159240,NC_018418,NC_018418 sample_28,Candidatus Carsonella ruddii PC isolate NHV
249974,-0.014154,0.075431,-0.001730,NC_021838,NC_021838 sample_74,Listeria monocytogenes strain R2-502
88572,-0.178830,-0.049140,0.088453,NC_012563,NC_012563 sample_72,Clostridium botulinum A2 str. Kyoto
68011,0.150030,0.077126,-0.071613,NC_010571,NC_010571 sample_11,Opitutus terrae PB90-1
242255,-0.108340,-0.048799,0.050543,NC_021280,NC_021280 sample_55,Spiroplasma chrysopicola DF-1
236646,-0.181600,-0.027724,0.095869,NC_020993,NC_020993 sample_46,Rickettsia prowazekii str. Breinl
242176,0.192540,0.073958,-0.109310,NC_021252,NC_021252 sample_76,Amycolatopsis orientalis HCCB10007
177965,-0.115130,-0.019794,0.094503,NC_017374,NC_017374 sample_65,Helicobacter pylori 2017
115891,0.019701,0.047303,0.026222,NC_014364,NC_014364 sample_91,Spirochaeta smaragdinae DSM 11293
225271,-0.071367,0.027239,0.063539,NC_020207,NC_020207 sample_71,Enterococcus faecium NRRL B-2354
16021,0.068781,0.055560,-0.029699,NC_005296,NC_005296 sample_21,Rhodopseudomonas palustris CGA009
51079,-0.007126,0.073346,0.011839,NC_009481,NC_009481 sample_79,Synechococcus sp. WH 7803
225284,-0.045458,0.023676,-0.004186,NC_020207,NC_020207 sample_84,Enterococcus faecium NRRL B-2354
230019,-0.053188,0.011448,0.041943,NC_020518,NC_020518 sample_19,Escherichia coli str. K-12 substr. MDS42 DNA
48402,-0.088278,0.005976,0.060031,NC_009328,NC_009328 sample_2,Geobacillus thermodenitrificans NG80-2
161795,-0.094241,-0.010738,0.032099,NC_017022,NC_017022 sample_95,Enterococcus faecium Aus0004
49875,0.140040,0.079734,-0.064431,NC_009439,NC_009439 sample_75,Pseudomonas mendocina ymp
235622,-0.027849,-0.002137,0.020799,NC_020944,NC_020944 sample_22,Chlamydia trachomatis A/7249 complete genome
193143,-0.079495,0.023876,0.057657,NC_017737,NC_017737 sample_43,Helicobacter cetorum MIT 00-7128
97234,-0.081915,-0.009171,0.046726,NC_013166,NC_013166 sample_34,Kangiella koreensis DSM 16069
128484,-0.002647,0.023249,-0.018135,NC_015061,NC_015061 sample_84,Rahnella sp. Y9602
26276,0.175810,0.092971,-0.094339,NC_007508,NC_007508 sample_76,Xanthomonas campestris pv. vesicatoria str. 85-10
198652,0.037362,0.065919,-0.019245,NC_017999,NC_017999 sample_52,Bifidobacterium bifidum BGN4
102372,0.245550,0.112170,-0.190070,NC_013521,NC_013521 sample_72,Sanguibacter keddieii DSM 10542
92381,0.043086,0.054528,-0.033787,NC_012814,NC_012814 sample_81,Bifidobacterium animalis subsp. lactis Bl-04
11801,0.112630,0.057628,-0.033415,NC_004369,NC_004369 sample_1,Corynebacterium efficiens YS-314
37811,0.059331,0.034991,0.011939,NC_008347,NC_008347 sample_11,Maricaulis maris MCS10
238329,0.023966,0.046742,0.013258,NC_021066,NC_021066 sample_29,Raoultella ornithinolytica B6
155422,-0.050723,-0.012454,0.016826,NC_016798,NC_016798 sample_22,Chlamydia trachomatis A2497
264346,-0.156220,0.012307,0.077320,NC_022777,NC_022777 sample_46,Clostridium tetani 12124569 main
178005,-0.114220,-0.012653,0.092089,NC_017375,NC_017375 sample_5,Helicobacter pylori 83
113322,0.177730,0.107580,-0.096839,NC_014221,NC_014221 sample_22,Truepera radiovictrix DSM 17093
128566,0.054782,0.055668,-0.023844,NC_015064,NC_015064 sample_66,Granulicella tundricola
31191,-0.097246,-0.032418,0.077125,NC_007880,NC_007880 sample_91,Francisella tularensis subsp. holarctica LVS
103358,0.171930,0.075551,-0.111770,NC_013595,NC_013595 sample_58,Streptosporangium roseum DSM 43021
242872,-0.012892,0.028399,0.021925,NC_021286,NC_021286 sample_72,Idiomarina loihiensis GSL 199
225668,0.001204,0.039344,0.018156,NC_020229,NC_020229 sample_68,Lactobacillus plantarum ZJ316
120051,0.135170,0.047122,-0.073728,NC_014616,NC_014616 sample_51,Bifidobacterium bifidum S17
13607,-0.125680,-0.012219,0.066356,NC_004606,NC_004606 sample_7,Streptococcus pyogenes SSI-1
91732,0.206610,0.075319,-0.121210,NC_012792,NC_012792 sample_32,Variovorax paradoxus S110 chromosome 2
226088,0.135200,0.078031,-0.056054,NC_020245,NC_020245 sample_88,Mycobacterium bovis BCG str. Korea 1168P
198476,0.080701,0.056723,-0.046656,NC_017986,NC_017986 sample_76,Pseudomonas putida ND6
200136,0.117600,0.073258,-0.029174,NC_018027,NC_018027 sample_36,Mycobacterium chubuense NBB4
171924,0.129250,0.042886,-0.038030,NC_017272,NC_017272 sample_24,Thermus thermophilus SG0.5JP17-16
224631,-0.160780,-0.022304,0.106600,NC_020135,NC_020135 sample_31,Candidatus Uzinura diaspidicola str. ASNER
203266,0.046814,0.062378,-0.003846,NC_018290,NC_018290 sample_66,Phaeobacter gallaeciensis DSM 17395
154228,0.028805,0.056204,-0.003697,NC_016783,NC_016783 sample_28,Corynebacterium diphtheriae INCA 402
200754,0.126480,0.086490,-0.099286,NC_018078,NC_018078 sample_54,Mycobacterium tuberculosis KZN 605
264909,-0.022036,0.031637,-0.000464,NC_022795,NC_022795 sample_9,Thermotoga hypogea NBRC 106472 DNA
158281,-0.017558,0.070331,0.005364,NC_016857,NC_016857 sample_81,Salmonella enterica subsp. enterica serovar Typhimurium str. ST4/74
140900,-0.004984,-0.010875,-0.001759,NC_015709,NC_015709 sample_0,Zymomonas mobilis subsp. pomaceae ATCC 29192
131234,0.029770,0.025867,0.007043,NC_015276,NC_015276 sample_34,Marinomonas mediterranea MMB-1
