,x,y,z,ncbi_id,sample_name,full_name,vir_x,vir_y,vir_z,vir_ncbi_id,vir_sample_name,vir_full_name
600,0.239470,-0.168150,-0.228190,NC_000913,NC_000913 sample_0,Escherichia coli,0.109300,-0.063529,-0.082088,NC_024379,NC_024379 sample_0,"Escherichia phage PE3-1, complete genome."
601,0.185850,-0.039425,-0.093765,NC_000913,NC_000913 sample_1,Escherichia coli,0.187450,-0.042820,-0.112300,NC_024379,NC_024379 sample_1,"Escherichia phage PE3-1, complete genome."
602,0.247930,-0.189980,-0.204450,NC_000913,NC_000913 sample_2,Escherichia coli,0.169610,-0.001253,-0.191560,NC_024379,NC_024379 sample_2,"Escherichia phage PE3-1, complete genome."
603,0.238240,-0.111890,-0.185690,NC_000913,NC_000913 sample_3,Escherichia coli,0.037746,-0.080842,-0.081098,NC_024379,NC_024379 sample_3,"Escherichia phage PE3-1, complete genome."
604,0.120640,-0.252500,-0.184990,NC_000913,NC_000913 sample_4,Escherichia coli,0.051405,-0.107190,-0.042500,NC_024379,NC_024379 sample_4,"Escherichia phage PE3-1, complete genome."
605,0.163850,-0.128250,-0.082292,NC_000913,NC_000913 sample_5,Escherichia coli,0.120010,-0.114360,-0.028844,NC_024379,NC_024379 sample_5,"Escherichia phage PE3-1, complete genome."
606,0.180780,-0.106530,-0.141970,NC_000913,NC_000913 sample_6,Escherichia coli,-0.005814,-0.103330,-0.047162,NC_024379,NC_024379 sample_6,"Escherichia phage PE3-1, complete genome."
607,-0.117160,-0.099298,-0.189490,NC_000913,NC_000913 sample_7,Escherichia coli,0.077483,-0.142200,-0.141290,NC_024379,NC_024379 sample_7,"Escherichia phage PE3-1, complete genome."
608,0.333670,-0.058803,-0.077462,NC_000913,NC_000913 sample_8,Escherichia coli,0.004679,-0.089172,-0.070087,NC_024379,NC_024379 sample_8,"Escherichia phage PE3-1, complete genome."
609,0.243390,-0.013746,-0.090086,NC_000913,NC_000913 sample_9,Escherichia coli,0.075941,-0.190460,-0.149640,NC_024379,NC_024379 sample_9,"Escherichia phage PE3-1, complete genome."
1400,0.147870,-0.109650,-0.336580,NC_000964,NC_000964 sample_0,Bacillus subtilis,-0.097353,-0.095227,-0.308180,NC_022771,NC_022771 sample_10,"Bacillus phage Grass, complete genome."
1401,-0.060972,-0.062789,-0.149510,NC_000964,NC_000964 sample_1,Bacillus subtilis,-0.030673,-0.185860,-0.200250,NC_022771,NC_022771 sample_11,"Bacillus phage Grass, complete genome."
1402,-0.147050,-0.136450,-0.175390,NC_000964,NC_000964 sample_2,Bacillus subtilis,-0.060371,-0.158290,-0.270400,NC_022771,NC_022771 sample_12,"Bacillus phage Grass, complete genome."
1403,0.102990,-0.100040,-0.263800,NC_000964,NC_000964 sample_3,Bacillus subtilis,-0.119000,-0.142380,-0.143510,NC_022771,NC_022771 sample_13,"Bacillus phage Grass, complete genome."
1404,0.046696,-0.134480,-0.193640,NC_000964,NC_000964 sample_4,Bacillus subtilis,-0.111070,-0.148850,-0.131160,NC_022771,NC_022771 sample_14,"Bacillus phage Grass, complete genome."
1405,0.216630,-0.113260,-0.081859,NC_000964,NC_000964 sample_5,Bacillus subtilis,-0.028160,-0.193580,-0.064207,NC_022771,NC_022771 sample_15,"Bacillus phage Grass, complete genome."
1406,0.181600,-0.177560,-0.233640,NC_000964,NC_000964 sample_6,Bacillus subtilis,-0.099987,-0.122580,-0.142240,NC_022771,NC_022771 sample_16,"Bacillus phage Grass, complete genome."
1407,0.139900,-0.170170,-0.064414,NC_000964,NC_000964 sample_7,Bacillus subtilis,-0.096088,-0.134260,-0.042927,NC_022771,NC_022771 sample_17,"Bacillus phage Grass, complete genome."
1408,-0.085585,-0.201890,-0.144830,NC_000964,NC_000964 sample_8,Bacillus subtilis,-0.101470,-0.176480,-0.274170,NC_022771,NC_022771 sample_18,"Bacillus phage Grass, complete genome."
1409,0.210150,-0.083082,-0.062130,NC_000964,NC_000964 sample_9,Bacillus subtilis,0.015183,-0.077681,-0.227600,NC_022771,NC_022771 sample_19,"Bacillus phage Grass, complete genome."
2600,0.394670,-0.070639,0.203530,NC_002516,NC_002516 sample_0,Pseudomonas aeruginosa,0.409280,-0.072538,0.030760,NC_024381,NC_024381 sample_20,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
2601,0.343430,-0.171560,0.275430,NC_002516,NC_002516 sample_1,Pseudomonas aeruginosa,0.386490,-0.055787,-0.008110,NC_024381,NC_024381 sample_21,"Pseudomonas phage vB_PaeS_SCH_Ab26, complete genome."
